position,turn,layer,n_pairs,SSSF_mean,SSSF_sd,NNNF_mean,NNNF_sd,HHHF_mean,HHHF_sd,SSHF_mean,SSHF_sd,dz_SSSF_NNNF,dz_HHHF_NNNF,dz_SSHF_NNNF,dz_SSHF_SSSF
eot_u_1,1,11,160,8.14201165892705,0.7570937986086725,-2.8642871256841893,3.1567577526321906,-7.513997101788474,0.9762360023900026,8.147596796563032,0.7571782813879461,3.0251192748146645,-1.2248599694321225,3.029845780576866,0.192339220414075
eot_u_1,1,12,160,8.093774759900375,0.7433042409592096,-3.9093939771128263,3.151457245180142,-7.482128686701013,0.9723634493370309,8.096382468461286,0.7454368079793271,3.3477426694463213,-0.9718837180906064,3.3515200074474607,0.07291819237356881
eot_u_1,1,13,160,7.92869361538592,0.6370547909300954,-4.154880671912555,3.1116387225557762,-7.521156724484785,0.9780797073299136,7.932214461451117,0.6405303767739153,3.5772488475179935,-0.940348093003098,3.5820568888309676,0.09703794664414934
eot_u_1,1,14,160,7.894248299951701,0.8132111756538191,-4.630084805947746,2.8939588611625817,-7.496647675837503,1.0045429473152074,7.8957950892454445,0.8093871596052669,3.929204017639217,-0.8250807661338261,3.932583804011764,0.049358817732263485
eot_u_1,1,15,160,7.96565358106979,0.9350399001168492,-4.879172371343526,2.685785085008068,-7.440673793435205,1.0199385256517322,7.9667119201846806,0.9309522263035769,4.255606380256892,-0.7783708943634239,4.2609297099517915,0.0358999979436255
eot_u_1,1,16,160,8.132070857379139,1.0581114276204957,-4.676178607946245,2.4077481354997006,-7.543590138699687,0.9521433030267724,8.131796316704275,1.0514974732226783,4.488806841254587,-0.9497339155597174,4.497691158730927,-0.009859030979195589
eot_u_1,1,17,160,8.00862899010597,1.0318282419628289,-4.631274878006325,2.434924396979855,-7.319383227057893,0.7867668608809585,8.008693796072496,1.0240891835465984,4.516408670857529,-0.9114418062225079,4.524030419831931,0.0016232732876075523
eot_u_1,1,18,160,8.023210768654087,0.9354538525260058,-4.554127499069888,2.153719441589489,-7.357929247803154,0.6886060107812605,8.027920874463547,0.9340864735795104,5.07438660841413,-1.0867724870668416,5.080908886221142,0.10591774121880103
eot_u_1,1,19,160,8.21583351577886,1.0741622947236278,-4.323361023766089,2.4242977734619773,-7.328645047516735,0.8387504620690807,8.220002930765265,1.0657861663584285,4.50455665570729,-1.042443602945493,4.517726308752724,0.07071583424335438
eot_u_1,1,20,160,7.897432768937392,1.1582572807525833,-4.989704173251913,2.6238813923128315,-7.334684621720996,0.9017451436267859,7.905820120884686,1.1534537474271325,4.133186307162322,-0.7514040118025178,4.146344399583256,0.1496785648545758
