probe,strength,layer,A,B,C,D,E,sd_A,sd_B,sd_C,dz_B_C,dz_B_A,dz_C_A,dz_D_A,dz_E_A
P1,0.5,29,1.70123548548136,1.7479831009961941,1.7050765010801243,1.545232470421741,1.9998605920794954,0.7248208046725915,0.8810916075112442,0.6956910772840803,0.11654362962562607,0.11444354187844119,0.013021869888826539,-0.5212147372813931,0.6245355056148455
P1,0.5,30,1.634197971368674,1.7930299657932651,1.6309833682215722,1.561914179232315,1.9242322702211747,0.6517710167818773,0.7835638476043584,0.6683196957200754,0.39944683709151035,0.3174340892060686,-0.009582154563086785,-0.18492865167545972,0.4297131002033782
P1,0.5,31,0.4870751329585025,0.7077213665837503,0.4799662305223741,0.4022612022129878,0.7030577483578087,0.6453094101961153,0.8128183473505728,0.6713353347367718,0.48538232508530793,0.4023606272302605,-0.020767355756058453,-0.19134391640051907,0.3787112791008018
P2,0.25,0,12.975289742668062,13.677262388358011,13.181918243298403,13.283939085533921,5.585171280842543,5.522689606625758,6.225144191576229,6.004059501710439,0.21339334836901416,0.21711822551475343,0.05717283418642459,0.08785381084748722,-1.8662511348792366
P2,0.25,1,11.647296169929769,12.368062158918907,12.086998531297626,11.729954949138499,3.164478921903609,6.514692631589629,6.876909802207865,7.058875760126003,0.1759344316720959,0.24805347355885754,0.15667207497816765,0.02582104149980444,-1.9256410821835368
P2,0.25,2,8.705456023887555,9.102925659921175,8.745109319478289,8.376046305036043,4.833476555513257,2.4924665318582426,2.4654633017970866,2.705232219806175,0.4365982254265026,0.3319289743592419,0.03191041474111259,-0.2649884408557956,-2.0121827054433163
P2,0.25,3,7.627000617399013,8.09295480760004,7.780407571009674,7.526670375089059,4.650379127152753,2.1484833615465684,2.085565613469271,2.011346482613926,0.4798813943781717,0.5674306588027316,0.16444437055202202,-0.09057581122647265,-2.24678450588221
P2,0.25,4,8.956212314267068,9.32207106129415,9.002595887902533,8.828531808807458,7.12077637261122,1.750156540701916,1.9083917987853165,1.8126238249420925,0.4372517920523196,0.4569636076241859,0.052405021732894096,-0.12899192902790266,-1.8880952141875478
P2,0.25,5,5.892117920396432,6.016422562600761,5.80433384083994,5.656086272201357,3.474176289580723,2.159369176721716,2.086218819052103,2.3245572661212384,0.2678955445617407,0.18297318411251534,-0.09608496927670836,-0.33001555421265194,-2.4724743680849106
P2,0.25,6,1.0335136947616692,1.0132471539237715,1.0252919191668197,0.9353636170889089,-0.07691398034089013,1.7010319282173407,1.667359031069147,1.7595443379410498,-0.04465071380677361,-0.0742900980068897,-0.024358599669454334,-0.41227726414870264,-3.067517169021539
P2,0.25,7,2.1076675748636076,2.1009957916699884,2.062331973197975,2.0912375358026205,1.554396015478074,1.4013043468546174,1.4321383981049234,1.5628477965881251,0.14780385467097654,-0.04694008322353534,-0.15419240606644213,-0.1055028932204609,-1.9846450744079827
P2,0.25,8,1.707096715113138,1.7358784283698891,1.695022852927226,1.710431885297209,1.0765992791504693,0.7269860966736933,0.7655243840960665,0.9050995800786599,0.14663569233881646,0.1485525881055961,-0.04048836353215146,0.01588347106354803,-1.8258908829930787
P2,0.25,9,-0.5059621404337719,-0.4010280084259731,-0.5197536257138836,-0.47848460697323425,-0.8866013480807851,1.397905901850002,1.399130888101553,1.530415328275086,0.47695854786909403,0.5831446722351202,-0.05518043913445018,0.13992742146677717,-1.9066232248730783
P2,0.25,10,0.2284916410495664,0.24688499592768598,0.1820975049048013,0.17293030553888308,-0.4476968494760947,1.0508534570711043,0.9867457668623784,1.1342297369632086,0.26499015904602286,0.0807246387292979,-0.2675496296660348,-0.2854701261555641,-2.9116535365398377
P2,0.25,11,0.1946974426066195,0.20412735905827248,0.14790720377811584,0.18445602973829497,-0.10297522914352239,0.639303282998736,0.6712980373532477,0.6545002379181143,0.2396462618247272,0.05301941552067294,-0.2236177194666068,-0.05984547579106726,-1.40900318818368
P2,0.25,12,-1.0292692901526541,-1.00603703639818,-1.057076809419843,-1.039710350862288,-1.604220629204925,0.959614609326874,0.9573316575488897,0.9211403651151396,0.18664902942856798,0.09740485011243885,-0.15737285576427432,-0.05164714185754988,-2.989542124100729
P2,0.25,13,-0.7299902928079515,-0.7327530757010959,-0.7791458219730037,-0.7882819522992741,-1.2322204363864142,0.9880109443311101,0.9294186482182811,0.9743949127905883,0.23263626920787867,-0.019946296606585298,-0.30842199165951206,-0.323314549992491,-2.3419500613190225
